SKU,Description,Fixed MSRP,Component1,Component Description,Componenet FOB,Component MSRP ,Component2,Component Description,Componenet FOB,Component MSRP 
SB-2DB24,"Shaker Sage Breeze - 2-Drawer Base Cabinet - 24""W x 34-1/2""H x 24""D - 2Drw",698,SB-DS-2DB24,Door Set SB-2DB24,24.633,160,UBX-2DB24,Cabinet Box for 2DB24,82.467,538
SB-2DB30,"Shaker Sage Breeze - 2-Drawer Base Cabinet - 30""W x 34-1/2""H x 24""D - 2Drw",783,SB-DS-2DB30,Door Set SB-2DB30,29.628,191,UBX-2DB30,Cabinet Box for 2DB30,91.746,592
SB-2DB36,"Shaker Sage Breeze - 2-Drawer Base Cabinet - 36""W x 34-1/2""H x 24""D - 2Drw",851,SB-DS-2DB36,Door Set SB-2DB36,34.623,217,UBX-2DB36,Cabinet Box for 2DB36,101.016,634
SB-3DB12,"Shaker Sage Breeze - Drawer Base Cabinet - 12""W x 34-1/2""H x 24""D - 3DRW",563,SB-DS-3DB12/3VDB12,Door Set SB-3DB12/3VDB12,15.408,101,UBX-3DB12,Cabinet Box for 3DB12,74.565,462
SB-3DB15,"Shaker Sage Breeze - Drawer Base Cabinet - 15""W x 34-1/2""H x 24""D - 3DRW",634,SB-DS-3DB15/3VDB15,Door Set SB-3DB15/3VDB15,18.216,120,UBX-3DB15,Cabinet Box for 3DB15,78.894,514
SB-3DB18,"Shaker Sage Breeze - Drawer Base Cabinet - 18""W x 34-1/2""H x 24""D - 3DRW",674,SB-DS-3DB18/3VDB18,Door Set SB-3DB18/3VDB18,21.024,139,UBX-3DB18,Cabinet Box for 3DB18,83.232,535
SB-3DB21,"Shaker Sage Breeze - Drawer Base Cabinet - 21""W x 34-1/2""H x 24""D - 3DRW",694,SB-DS-3DB21/3VDB21,Door Set SB-3DB21/3VDB21,23.841,157,UBX-3DB21,Cabinet Box for 3DB21,87.561,537
SB-3DB24,"Shaker Sage Breeze - Drawer Base Cabinet - 24""W x 34-1/2""H x 24""D - 3DRW",733,SB-DS-3DB24/3VDB24,Door Set SB-3DB24/3VDB24,26.685,182,UBX-3DB24,Cabinet Box for 3DB24,91.953,551
SB-3DB27,"Shaker Sage Breeze - Drawer Base Cabinet - 27""W x 34-1/2""H x 24""D - 3DRW",792,SB-DS-3DB27,Door Set SB-3DB27,29.493,185,UBX-3DB27,Cabinet Box for 3DB27,96.759,607
SB-3DB30,"Shaker Sage Breeze - Drawer Base Cabinet - 30""W x 34-1/2""H x 24""D - 3DRW",850,SB-DS-3DB30,Door Set SB-3DB30,32.31,205,UBX-3DB30,Cabinet Box for 3DB30,101.556,645
SB-3DB33,"Shaker Sage Breeze - Drawer Base Cabinet - 33""W x 34-1/2""H x 24""D - 3DRW",881,SB-DS-3DB33,Door Set SB-3DB33,35.118,218,UBX-3DB33,Cabinet Box for 3DB33,106.362,663
SB-3DB36,"Shaker Sage Breeze - Drawer Base Cabinet - 36""W x 34-1/2""H x 24""D - 3DRW",934,SB-DS-3DB36,Door Set SB-3DB36,37.926,237,UBX-3DB36,Cabinet Box for 3DB36,111.159,697
SB-B12,"Shaker Sage Breeze - Base Cabinet - 12""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",376,SB-DS-B12,Door Set SB-B12,16.173,112,UBX-B12,Cabinet Box for B12,37.701,264
SB-B15,"Shaker Sage Breeze - Base Cabinet - 15""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",426,SB-DS-B15,Door Set SB-B15,18.522,134,UBX-B15,Cabinet Box for B15,40.149,292
SB-B18,"Shaker Sage Breeze - Base Cabinet - 18""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",458,SB-DS-B18,Door Set SB-B18,20.871,150,UBX-B18,Cabinet Box for B18,42.606,308
SB-B21,"Shaker Sage Breeze - Base Cabinet - 21""W x 34-1/2""H x 24""D - 1D, 1Drw, 1S",506,SB-DS-B21,Door Set SB-B21,23.22,172,UBX-B21,Cabinet Box for B21,45.063,334
SB-B24,"Shaker Sage Breeze - Base Cabinet - 24""W x 34-1/2""H x 24""D - 2D, 1Drw, 1S",551,SB-DS-B24,Door Set SB-B24,29.151,209,UBX-B24,Cabinet Box for B24,47.394,342
SB-B27,"Shaker Sage Breeze - Base Cabinet - 27""W x 34-1/2""H x 24""D - 2D, 1Drw, 1S",613,SB-DS-B27,Door Set SB-B27,31.491,236,UBX-B27,Cabinet Box for B27,50.247,377
SB-B30,"Shaker Sage Breeze - Base Cabinet - 30""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",717,SB-DS-B30,Door Set SB-B30,34.479,248,UBX-B30,Cabinet Box for B30,64.989,469
SB-B33,"Shaker Sage Breeze - Base Cabinet - 33""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",753,SB-DS-B33,Door Set SB-B33,36.828,264,UBX-B33,Cabinet Box for B33,67.86,489
SB-B36,"Shaker Sage Breeze - Base Cabinet - 36""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",805,SB-DS-B36,Door Set SB-B36,39.168,286,UBX-B36,Cabinet Box for B36,70.74,519
SB-B42,"Shaker Sage Breeze - Base Cabinet - 42""W x 34-1/2""H x 24""D - 2D, 2Drw, 1S",860,SB-DS-B42,Door Set SB-B42,45.558,321,UBX-B42,Cabinet Box for B42,76.374,539
SB-BBC36,"Shaker Sage Breeze - Blind Base Corner Cabinet - 33""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 37"" min., 40"" max; Specify Left-hinge or Right Hinge assembly",506,SB-DS-BBC36,Door Set SB-BBC36,29.961,192,UBX-BBC36,Cabinet Box for BBC36,48.771,314
SB-BBC39,"Shaker Sage Breeze - Blind Base Corner Cabinet - 36""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 40"" min., 43"" max; Specify Left-hinge or Right Hinge assembly",615,SB-DS-BBC39,Door Set SB-BBC39,31.446,237,UBX-BBC39,Cabinet Box for BBC39,49.968,378
SB-BBC42,"Shaker Sage Breeze - Blind Base Corner Cabinet - 39""W x 34-1/2""H x 24""D -1D, 1Drw, 1S *Install range 43"" min., 46"" max; Specify Left-hinge or Right Hinge assembly",697,SB-DS-BBC42,Door Set SB-BBC42,32.967,273,UBX-BBC42,Cabinet Box for BBC42,50.976,424
SB-BEC24,"Shaker Sage Breeze - Angle Base Cabinet - 24""W x 34-1/2""H x 24""D - 2D",478,SB-DS-BEC24,Door Set SB-BEC24,38.421,250,UBX-BEC24,Cabinet Box for BEC24,34.974,228
SB-BFH12,"Shaker Sage Breeze - Base Cabinet - Full Height Door-12""W x 34-1/2""H x 24""D - 1D, 1S",292,SB-DS-BFH12/W1230,Door Set SB-BFH12/W1230,15.327,112,UBX-BFH12,Cabinet Box for BFH12,24.183,180
SB-BFH15,"Shaker Sage Breeze - Base Cabinet - Full Height Door-15""W x 34-1/2""H x 24""D - 1D, 1S",324,SB-DS-BFH15/W1530,Door Set SB-BFH15/W1530,17.325,130,UBX-BFH15,Cabinet Box for BFH15,26.001,194
SB-BFH18,"Shaker Sage Breeze - Base Cabinet - Full Height Door-18""W x 34-1/2""H x 24""D - 1D, 1S",356,SB-DS-BFH18/W1830,Door Set SB-BFH18/W1830,19.332,150,UBX-BFH18,Cabinet Box for BFH18,27.819,206
SB-BFH21,"Shaker Sage Breeze - Base Cabinet - Full Height Door-21""W x 34-1/2""H x 24""D - 1D, 1S",388,SB-DS-BFH21/W2130,Door Set SB-BFH21/W2130,21.339,166,UBX-BFH21,Cabinet Box for BFH21,29.637,222
SB-BFH24,"Shaker Sage Breeze - Base Cabinet - Full Height Door-24""W x 34-1/2""H x 24""D - 2D, 1S",442,SB-DS-BFH24/W2430,Door Set SB-BFH24/W2430,27.549,210,UBX-BFH24,Cabinet Box for BFH24,31.392,232
SB-BFH27,"Shaker Sage Breeze - Base Cabinet - Full Height Door-27""W x 34-1/2""H x 24""D - 2D, 1S",477,SB-DS-BFH27/W2730,Door Set SB-BFH27/W2730,29.547,229,UBX-BFH27,Cabinet Box for BFH27,33.606,248
SB-BFH30,"Shaker Sage Breeze - Base Cabinet - Full Height Door-30""W x 34-1/2""H x 24""D - 2D, 1S",513,SB-DS-BFH30/W3030,Door Set SB-BFH30/W3030,31.554,251,UBX-BFH30,Cabinet Box for BFH30,35.811,262
SB-BFH33,"Shaker Sage Breeze - Base Cabinet - Full Height Door-33""W x 34-1/2""H x 24""D - 2D, 1S",548,SB-DS-BFH33/W3330,Door Set SB-BFH33/W3330,33.561,263,UBX-BFH33,Cabinet Box for BFH33,38.025,285
SB-BFH36,"Shaker Sage Breeze - Base Cabinet - Full Height Door-36""W x 34-1/2""H x 24""D - 2D, 1S",583,SB-DS-BFH36/W3630,Door Set SB-BFH36/W3630,35.568,286,UBX-BFH36,Cabinet Box for BFH36,40.239,297
SB-BT09,"Shaker Sage Breeze - Base Cabinet - 9""W x 34-1/2""H x 24""D - 1D",289,SB-DS-BT09/W0930,Door Set SB-BT09/W0930,13.32,98,UBX-BT09,Cabinet Box for BT09,22.356,191
SB-BWB18,"Shaker Sage Breeze - Base Waste Basket - 18"" x 34 1/2 x 24",614,SB-DS-BWB18,Door Set SB-BWB18,19.26,142,UBX-BWB18,Cabinet Box for BWB18,63.459,472
